Speaker,Speech,Words_in_Speech,Language
HON. DEPUTY SPEAKER,How much time will you take? You try to finish by 1.30 p.m.,13,en
SHRI BHARTRUHARI MAHTAB,I may need some more time. I will continue till 1.30 p.m. … (Interruptions) The average employment days for a household has only been half in the first four months of 2016. … (Interruptions),34,en
HON. DEPUTY SPEAKER,You can continue your speech after lunch.,7,en
SHRI BHARTRUHARI MAHTAB,"Thank you, Sir.",3,en
HON. DEPUTY SPEAKER,The House stands adjourned to meet again at 2.30 p.m. 13.22 hours The Lok Sabha then adjourned till Thirty Minutes past Fourteen of the Clock. 14.34 hours The Lok Sabha re-assembled at Thirty-Four Minutes past Fourteen of the Clock. (Hon. Deputy Speakerin the Chair) MOTION OF THANKS ON THE PRESIDENT’S ADDRESS –Contd.,52,en
HON. DEPUTY SPEAKER,"Mr. Mahtab, please continue and please be brief because other Members are also waiting to speak.",16,en
SHRI BHARTRUHARI MAHTAB (CUTTACK),"Sir, I was talking about the joblessness or the employment about which the hon. President mentioned citing Yuvaon Ka Rozgar, and I was mentioning about MGNREGA. A report has been published in theHindustan Timesvery recently on the 24th, that is two days before. The report says that after three bad farming seasons rural India is battling a high level of joblessness. Shrinking employment generation under the National Rural Employment Guarantee Scheme has only added to the crisis, data accessed by HT showed. Further, it has also elaborated on it. The average employment days per household has only halved in the first four months of 2016. About 23 million households received work during this period compared to nearly 50 million households a year ago, hinting that the Scheme has not worked well as a drought relief. What does this signify? It signifies that MGNREGA is not doing well but when in the hon. President’s speech it is mentioned that it has been revamped to ensure speedy, efficient disbursement, actually providing employment is becoming an issue and that what is actually not creating productive assets and not providing that much employment. Another issue which I would like to mention here is that though transparency and productive assets are being created, the Congress is claiming that this programme has revolutionised rural wage structure and BJP Government says it has stopped corruption and it is creating assets, it is stated after completion of ten years of this Scheme less than five per cent households complete one hundred days of work provided in 2015-16. That is the position of NREGA. The major reason is delayed payment. Nearly half of NREGA transactions worth Rs. 7,200 crore until November were delayed. Now, an attempt is being made to turnaround the NREGA Scheme by linking it to skilled work. When there is extreme distress in rural areas, the Government should focus on long term plans; higher social sector spending is the need of the hour. The third point on which I would like to delve upon is the visible sign of change in the nature of policy-making bodies by this Government seen on 1stJanuary when Planning Commission was replaced with Nationial Institution for Transforming India, that is, NITI. On this, I would like to mention here that it is a non-starter. What progress has been achieved since January, 2015? NITI can best be described as a poor relation to the Planning Commission than a brave new initiative. No significant policy prescriptions have emerged; office-bearers’ responsibility is yet to be defined. Are they supposed to be policy advisers or quasi-political liaisons with State Governments? During UPA time, the then CM of Gujarat was vocal in his objections relating to Plannning Commission’s activity but now the resource allocation has shifted to Finance Ministry. What alternative role has NITI carved for itself? It suffers the lack of sound advisory establishment. There is still time. Why can it not be freshly empowered to serve as an advocate for progressive, market-friendly reform and emerge from the traditional bureaucracy? In para 65, hon. President has mentioned about efforts being made to tackle the menace of black money. India’s black economy has grown from 4.4 per cent to five per cent of GDP in 1995-96 to the present over 60 per cent. Government has been dragging its feet on banking secrecy. The skeletons are coming out now. Around four lakh crores of rupees have become NPA. If stressed money is added to it, it would become Rs. 8 lakh crore, which is more than the market value of these banks. Is anyone being held accountable? The Government should answer this. In the morning, during the Question Hour, I had put a Question in a different way. The regulatory mechanism that is in place in our country, the Reserve Bank of India did not give the alarm that these banks are going on NPA but here the demand is to name and shame them. Those who have indulged in this are called wilful defaulters but I would allege that they are skilful defaulters. They skilfully have taken away the money from the banks. They are not wilful defaulters but skilful defaulters. With utmost responsibility, Sir, I would like to mention here about the challenges concerning the security of our country. The bungled response to the Pathankot attack underscores the need for a three-pronged revamp. We are yet to discuss that topic. We have been discussing about what happened in JNU and also in Hyderabad Central University but more alarming situation is that of Pathankot attack. Not only the border was breached but also the airbase was breached for which the Government has to answer. We may discuss that issue separately for which notices have been given but I would suggest that a three-pronged strategy should be borne by the Government now. There is a need to have a parliamentary oversight. There is a need for a well defined National Security Doctrine and there is a need for an independent Federal Commission of Accountability. I hope the Government will respond to this issue. Long back, Sir, Kautilya had propounded about governance. In his Arthashastra he has categorically stated that the most important role of the State is to avoid ‘Matsya nyaya’ the law of the fish. What does that signify? The bigger fish will eat away the small fish. What is the role of the Government, the role of the State? Kautilya states that the State must ensure defence, internal security, rule of law and most importantly have complete monopoly over violence within its territory. Kautilya advocated a Government that actively provided public goods, regulated market and encourage public sector undertakings in sectors like mining. The text repeatedly states that self-restraint is the single most important attribute in a King. In other words, the Kautilya’s ideal is a ‘strong and limited State’. The State should not indulge itself in everything. I am of the opinion, Sir, that the first thing to be done in our country would be to fix the judicial system. Nobody is talking about it. This is the forum where we should deliberate and discuss. We have to fix the judicial system. There are about 32 million pending cases as the epitome of ‘Matsya nyaya’. Kautilya would have thought that the delivery of justice is more important for the welfare of the poor than any subsidy scheme. Second, invest heavily in the internal security to sternly put down violence from terrorists, Maoists, criminals and mobs of various shades. Thirdly, attempt a dramatic simplification of taxes, regulations and the administrative structure. These three major administrative changes were effected by Kautilya when the empire was in the making under Chandragupta Maurya. Two generations later, I was never a student of History, Sir, but while understanding the State-craft of that era, I think it is now necessary to repeat what had happened during that time. During Chandragupta Maurya’s time Kautilya had given that treaty of Arthashastra. But after two generations, Emperor Ashoka says in his inscriptions that he considers his subjects as his children and explicitly states that his officials, his bureaucracy is likeNanis,nurses,Daaismeant to look after them. There was a transformation. Here you see the transformation. No wonder over-extended Ashokan State caused the Mauryan empire to disintegrate from rebellion and fiscal stress while the emperor was still alive. We do not read this in history books why during Ashoka’s period the empire shrunk. We read about the expeditions that were made by Buddhist Monks, and expansion of Buddhism to other far flung areas. But what was the State craft? The State craft that was envisioned by Kautilya had made a turn around during Ashoka’s time. That is why, there were rebellions all around. It was very difficult for him to have a control over his empire and to bring in normalcy. In the 20thcentury, Nehruvian thinking led the Indian Republic to follow the Ashokan model for 66 years. The result is, a weak and all pervasive State. Wherever we go, the people will tell us that they need a tube well, they need a road, they need a doctor, etc. We always say that the Government will provide it. Everything and anything the Government will provide. That is what happened in the last 66 years and that is what Ashoka had said in his inscription. The States will be nannies, officers will be nannies and they will bedaeesand they will look after everything. That was not the case of Kautilya’s treaty in Arthshastra. A State should be restraint. It should not over-impose. What will happen in a University, State will interfere? What will happen in another University, State will interfere? Can the State not be restraint? Can you not allow the Vice Chancellor to take a decision? Why should the State always interfere? This is a recent incident that comes to my mind. But in every aspect, the State has to interfere. Why? The expectation of the people is that the State has to do everything which is actually weakening the State craft of our country. Coming to disbursement of funds to States to handle disaster, I would like to mention here that we were told that Rs.13,000 crore have been released.",1536,en
HON. DEPUTY SPEAKER,"You have said that the State must not interfere. It is a good thing and I can accept it. But at the same time, courts are interfering. They are giving directions to all the Governments. The State Governments are facing the same problem. Anybody is going to court for anything.",50,en
SHRI JYOTIRADITYA M. SCINDIA (GUNA),"Sir, I am on a point of order. There is no quorum in the House. We must have quorum in the House for the House to run. Please ask the Government. There is no quorum in the House. सर, हाउस में कोरम नहीं है। आप गिन लीजिए। जब कोरम नहीं है तो हाउस कैसे चलेगा?...(व्यवधान)",55,hi
HON. DEPUTY-SPEAKER,"All right. The bell is being rungNow, there is quorum. The hon. Member, Shri Mahtab may continue.",17,en
SHRI BHARTRUHARI MAHTAB,"Sir, after having aMalvilunch, I think Shri Scindia is energetic today and that too sitting in a different seat he is making us accountable that the House should have a quorum. It should have a quorum and it is only with quorum that the House functions and it should happen accordingly. Sir, I was mentioning what the hon. President had mentioned when he recognized the disaster that is striking our country relating to floods and cyclones and droughts. But in his speech a very alarming information has been provided. It has been mentioned a sum of Rs. 13000 crore has been released under State and National Disaster Respond Fund. I am not challenging this. But the information that I have in my hand is that is different. During the Winter Session the hon. Home Minister had declared that the State of West Bengal will get this much of money under this Fund and the State of Odisha will get a sum of Rs. 815 crore. This was a decision taken by a High Level Committee which was headed by the hon. Home Minister where the hon. Finance Minister also was present. But subsequently a meeting took place on 21stDecember and there they had cut down the allocation. Though a sum of Rs. 815 was allocated under this Fund to the State of Odisha and a letter to this effect also was sent to the State Government, yet we received another letter that a sum of Rs. 215 crore will be deducted and the State will be allocated a sum of Rs. 600 crore. I was told by my friends from West Bengal that even their allocation has been cut down. Sir, the Government wishes to cultivate cooperative federalism. Is this the way? The Government wants us to dokadamtalin Odisha and forward march is in the Western parts of the country. This cannot happen and this should not happen. We want this House to function – to discuss, debate, deliberate and legislate. I remember in the college where I did my degree, the motto was enshrined in the gate and I used to learn it by heart everyday whenever I passed through that gate. It is the Bhadrak college in Odisha. It was a famous line from the Rig Veda and it is still enshrined and I am happy that this Government through the speech of the hon. President has also repeated that. The line that is enshrined meant `Let noble thoughts come to us from all sides, all directions’. The hon. President has said that this should be the spirit behind the debate in this temple of democracy. Respect for other’s point of view is the essence of democracy. The situation is becoming more vitiated because every year is an election year. Can we not have a system that term be fixed for five years and if a Government becomes a minority, then it can only be replaced with a Government that proves its majority in the House and continue to govern for the rest of the term. By this we can save time, energy and money to a very great extent and unnecessarily rancour can be avoided. Sir, I will conclude with what the last paragraph mentions. The last paragraph mentions about Netaji Subhash Chandra Bose. He defined nationalism by saying that it is the highest idea of human race. Here we are told and I believe in what Jawaharlal Nehru had said earlier. Nehru pointed this out in 1930s that majority communalism always masquerades as nationalism. He also said that if fascism comes to India, it will be in the form of majority or Hindu communalism That is why, while being totally opposed to Muslim communalism, he held that majority communalism is more dangerous because it can impose fascism on the whole nation.",635,en
HON. DEPUTY SPEAKER,"Please wind up now. Two more Members are waiting to speak. PROF. SAUGATA ROY (DUM DUM): Sir, he is raising very good points.",23,en
