Speaker,Speech
SHRI HANSRAJ GANGARAM AHIR,"This Address presents the 
outlook and mind of the government.  Today, our country is facing the grave 
problem of irregular irrigation.  The State of Maharashtra gets only 19% irrigation.  
It leads to below than average agro-production in this State and the farmers incur 
heavy losses even after the MSP given to them.  So, the Government should 
restructure the MSP-regime, with profit calculated on the original cost. The Prime 
Minister Irrigation Scheme aims to encourage irrigation facilities.  I suggest that a 
National Fund for this purpose should also be created, vis-à-vis, to improve the 
situation.  There are hundreds of Malguzari water-bodies belonging to the British 
times which are on the verge of extinction due to lack of maintenance.  If the 
government propose to revive them, they can prove to be a great help in irrigation 
for Vidarbha‟s farmer community.  We need to protect our traditional rural 
vocations.  Proper amendments need to be carried out in the APMC Act to permit 
farmers to sell their vegetables and fruits outside their region. We have to 
constitute a National Health Commission to fight malnutrition and anaemia among 
tribal children and women and should innovate new ideas to enrich our traditional 
food with more nutrients."
SHRIMATI ANUPRIYA PATEL,"I extend my sincere thanks to Hon. 
President of India for his Address delineating the road map for India‟s future 
raising people‟s hope and aspirations.  I am glad that the Government‟s resolve has 
been underlined in this Address to take 125 crore of Indians onto the path of 
development and prosperity.  I would like to make my point confining myself to 
my parliamentary constituency, Mirzapur, my home state Uttar Pradesh and the 
challenges faced by the people belonging to the SCs/STs and OBCs.  As far as 
youths are concerned, unemployment is their biggest problem and the youths do 
not have ample opportunity of gainful employment.  Many youths being 
unemployed tend to involve themselves in criminal activities.  Such  circumstances 
are emerging fast especially in Eastern part of Uttar Pradesh and Bundelkhand.  
My parliamentary constituency, Mirzapur is also part east UP and such 
circumstances are quite visible there as well.  I hope that this Government would 
provide ample job opportunities to the unemployed youths so that they are not 
forced to leave their homes for employment. The Prime Minister Agriculture 
Irrigation Scheme has been mentioned in the President‟s Address which proposes 
to provide irrigation to all fields.  I would, therefore, request the Government to 
implement this scheme in Eastern part of Uttar Pradesh and Bundelkhand to 
provide irrigation facilities there.  Uttar Pradesh faces the huge power crisis these 
days.  The National Energy Policy finds a mention in the President‟s Address 
which is quite an ambitious scheme.  Uttar Pradesh would be benefited by this 
scheme providing succor to the power starved people of Uttar Pradesh.  Tourism 
promotion has been talked about in a big way in the President‟s Address and 50  
tourist circuits are proposed to be created to promote tourism.  I hope my 
parliamentary constituency, Mirzapur, would be considered for this purpose while 
implementing this scheme in the country.  In Lalganj and Haliya areas, a vast 
population of tribals reside who are deprived of benefits of development.  I hope 
that the Government would make earnest efforts to bring these people into the 
mainstream of the country.  We have a National Commission for Backward 
Classes but this Commission does not have effective judicial power which is a 
serious issue.  Recently, two girls belonging to the backward community were 
subjected to inhuman treatment but the NCBC could not make an effective 
intervention for the want of necessary judicial power nor could it do justice with 
the families of these girls.   We do not see the reflection of social diversity in our 
judiciary.  I would, therefore, request the Government to set up a Judicial 
Commission.  The provisions of OBC‟s reservation have not been properly 
implemented in our Central universities like JNU and DU.  I would, therefore, 
request the new Government to do justice to the deprived sections of the society.  I 
also hope that the Government would pay attention to create toilet facilities in both 
rural and urban areas so that we could atleast safeguard the dignity and respect of 
our women."
SHRIMATI POONAMBEN MAADAM,"The Address by the Hon‟ble 
President reflects the vision and the road map of the new government.  It spells 
several programmes and schemes meant for the upliftment of one and all, 
particularly the poor. Putting the economy back on track is the paramount for this 
government.  The Government will create a policy environment which is 
predictable, transparent and fair.  It will make every effort to introduce Goods and 
Service Tax.  I wish to highlight the much needed reforms in the agriculture sector.  
Two-thirds of our people live in rural areas and agriculture is the main source of 
livelihood for majority of our people.  The economic contribution of agriculture to 
India‟s GDP is steadily declining with the country‟s broad-based economic growth. 
This government will be committed to build confidence in our farmers by 
increasing investment in agriculture sector and scientific practices, by streaming 
the pricing and procurement procedure, by implementing crop insurance and post-
harvest management and by setting up of food processing industries. Dwarka 
which is in my constituency is a pilgrimage place which has tremendous potential 
for growth.  The need for air connectivity, adequate hotel infrastructure and 
improving the amenities will go a long way in the development of this temple 
town.  I want to bring out the issue of the state of the MSMEs in our country.  I 
come from the Jamnagar district in Gujarat, home to the Brass industry of India.  
The industry is plagued by problems in their day-to-day operations, that is , in 
production and marketing of their products. They face stiff competition from large 
firms.  Inadequate infrastructural facilities and access to credit are other major 
problems. We need to change this."
SHRI SURESH ANGADI,"The people of this country have voted for Shri 
Narendra Modi as the Prime Minister of this country leaving apart the 
consideration of caste, creed and other things.  The British have ruled this country 
using the divide and rule policy.  Those rules are followed even today. The dalits, 
muslims and all these divisions in the society have been created and they are 
existing even to this day.  But this time, the people of India voted for Ekh Bharat, 
Shrest Bharat under the leadership of Shri Narendra Modi.  Today, we have got 
real democracy.  Allamaprahbu belong to the Scheduled Castes community. He 
was like Ambedkar of his times.  He gave 50 per cent reservation for women in 
those days but we are still fighting for 33 per cent reservations for women in 
legislative bodies even after 66 years of attaining independence.  I come from my 
constituency, Belgaum, we want the present Government to set up IITs and IIMs.  I 
request the Government to provide pure drinking water to all the villages and the 
urban areas of my constituency.  I would request the hon. Minister for Heavy 
Industries to kindly start some major public enterprises in my parliamentary 
constituency to provide employment.  I would request the Hon. Railway Minister 
to provide railway connectivity to Belgaum either with the bullet trains or with the 
fast track trains."
SHRI RAJENDRA AGRAWAL,"The hon‟ble President touches on almost 
all the social and national aspects of life.  Potatoes are grown on large scale in 
Hapur and its adjoining areas. Meerut, Baghpat, J.P. Nagar, Bulandshahar districts 
around Hapur altogether constitutes a big fruit-belt.  I urge upon the Government 
to set up a national level Research Centre on Food Processing at the birth place of 
the former Prime Minister Choudhary Charan Singh in his memory to guide and 
help the farmers in the processing of potatoes and various fruits. The hon‟ble 
President considered the lack of  strong basic infrastructure as one of the major 
impediments before India and said that the government would prepare an 
ambitious programme for infrastructure development. I request the government to 
take the responsibility of infrastructure development in Meerut-Hapur and provide 
a special economic package for this purpose.  It is also requested that an IIT or an 
IIM be set up in Meerut with a view to striking a regional balance. The 
Government has said that a multidimensional approach will be adopted for the fast 
disposal of a large number of pending cases to ensure timely delivery of the justice. 
The shortage of judiciary benches and judges is thwarting the early disposal of 
these cases. Hence, it is requested that a bench of Allahabad High Court may be set 
up in Meerut.  The policies of strategic importance for the country have been 
mentioned repeatedly. From this point of view hardware manufacturing should be 
given priority in the IT sector and the incentives and protection should be given to 
the hardware manufacturer so that our country may also be self-reliant in this 
sector."
SHRI M.I. SHANAVAS,"I have been closely following the speech of the 
President.  In the President‟s Address, unfortunately I was not able to find any 
vision, any new programme.  Only an extension of the programmes of 10-year rule 
of the UPA was seen in the President‟s Address.  „One Rank One Pension‟ is our 
such scheme.  It has already been implemented.  Since BJP is ruling the country, I 
looked for the word „secularism‟ in the speech.  Nowhere in the speech, the word 
„secularism‟ is used.  I looked for the word „Constitution‟. The word „Constitution‟ 
is missing from the speech of the President. So, what is the idea behind this?  For 
more than 55 years, this country has been ruled by the Indian National Congress.  
The Hon. Prime Minister called a meeting of the Secretaries and the Ministers 
were not allowed to enter that meeting.  It is the centralization of power. This 
centralization of power will no doubt harm the democratic principles.  I tell you in 
this august House that the Indian National Congress will come back like a storm in 
this House itself."
SHRI P. K. BIJU,"His Excellency the President Shri Mukherjee said that 
economy was passing through an “extremely difficult phase‟ and putting it back on 
track was a “paramount” objective of the government. But there is no blueprint to 
materialize the dream projects. Here, I would like to point out some of the 
important issues.  The emphasis on agriculture in Presidential Address is highly 
appreciable. While stating the government‟s commitments for saving the poor 
farmers, equal importance is also given to more private investment in agriculture. 
The diesel price has hiked after the new government, giving a clear indication of 
the continuation of the neo- liberal agenda followed by the UPA government.  
There is no reason why we should allow 100 percent FDI in defence which is a 
highly sensitive area in terms of security of our country. It is also not clarified 
whether the Government should instead get reciprocal access to foreign companies 
to transfer technology.  The presidential address speaks about “pension and health 
insurance safety nets for labour force of all categories and access to modern 
financial services.” But nowhere have it mentioned about the job security and 
rights of the labour force which is already at stake with the private and PPP model. 
The much awaited and hyped Presidential Address is conspicuous with absence of 
the road map for the promises."
SHRI KAUSHALENDRA KUMAR,"The President‟s Address, a written 
document of the Government is a jugglery of words. Whenever new governments 
assume power, populist measures are announced but they are never implemented.  
Black-marketeering and profiteering are such issues which directly impact the 
price rise in the country.  The cooperation of the State governments is always 
needed in this matter.  During the election campaign, the NDA leaders had 
promised that Bihar would be accorded the status of a special category state and 
special package would also be given to Bihar in case the NDA comes to power.   
However, there is no clarity on this issue in the President‟s Address which is a 
worrisome situation for the states.  100 cities are said to be developed and 
equipped with all necessary facilities.  I would like to say that India is a country of 
villages and the poor, therefore there should be a scheme for development of 
villages also.  The famous tourist places of Bihar like Rajgir, Nalanda, Vaishali, 
Pawapuri and Bodhgaya should be connected with Tourism Circuit.  I would also 
like to draw the attention of the Government to revive the 19 sugar mills lying 
closed in Bihar."
SHRI DUSHYANT CHAUTALA,"I am thankful for having an opportunity 
to speak on the motion of thanks on the President‟s Address.  The Address reflects 
the aspirations of the country but one important aspect that is population control 
has been left out.  Our country is all set to overtake China in population.  It is 
mentioned that 100 new cities would be developed.  In the year 2001, four counter 
magnet cities including my constituency Hissar were declared.  But in the last 13 
years no investment has been made in Hissar by the Centre.  New counter magnet 
cities were declared in the year 2011 which included Ambala.  Developmental 
works have been started in Ambala but Hissar still remains neglected.  
Development in Kota has been stopped while Jaipur is being developed as a 
counter magnet city.  68 per cent population of my State works in fields.  
Electricity and water are the most important issues for the farmers.  9 out of 12 
thermal units in Haryana are closed.  The Central Government provided funds for 
their development but the State Government did not put it to use just to favour 
private power companies.  The people of State are crying due to crimes.  The 
Government talked about inter-linking about canals.  I would like to appeal to the 
Government to reconsider the Satluj-Yamuna link project in order to provide water 
to the farmers for irrigation.  The Government has mainly assured the people of 
providing house to every family and job to every unemployed.  This is laudable.  
Dalits are being subjected to atrocities in Haryana.  On the other hand, the 
Government has been involved in multi crore scams during the last 10 years in 
which thousands of acres of land of the farmers have been acquired in the name of 
education or SEZs.  The Central Government will have to take decision to provide 
compensation to such farmers."
SHRI GANESH SINGH,"I support the motion of thanks on the President‟s 
Address.  The Address includes the promises made by us during election 
campaign.  The UPA Government has completed its ten years but no problem has 
been solved rather these have been made further complicated.  Indira Awas Yojana 
was launched by the UPA Government but the homeless families are still waiting 
for shelter for generations.  Once, our friend Rahul Gandhi toured Bundelkhand.  
He was very sad to see the state of poverty of a tribal family that why our country 
was in such a state.  But, perhaps, he forgot that his grandmother and his father had 
been in power and even then his party was in power.  Had they identified the tribal 
to provide one pucca house each, had this problem not be solved?  Atal Bihari 
Vajpayee ji, as Prime Minister, decided to connect 6.5 lakh villages with all 
weather roads.  The scheme was launched and today all the villages are being 
connected with all weather roads.  Our Prime Minister said that if somebody has 
the right over the resources of the country then the first right vests with the poor.  
The NDA Government is committed to fulfilling the promises it has made to the 
country.  There is rampant corruption in MNREGS.  This scheme was so 
impractical that it could not benefit the people and ended in corruption.  We will 
set it right.  Our Government wants to eradicate poverty.  They gave slogan to 
remove poverty.  When poverty was not removed, they started removing the poor.  
The Planning Commission under their Government fixed quite unrealistic norms to 
determine poverty.  Today, we say that we would provide water in the villages,  
two square meals to the people, houses to live and electricity and road.  But, the 
question  is as to why we could not do all this till date after Independence.  Had 
they done something of it, I can say that the Government led by Shri Narendra 
Modi Ji would have brought a bigger agenda of global level.  But, we have to 
fulfill the basic needs of the country.  We expect constructive support from them 
but if we happen to commit some mistakes, we would welcome your suggestions.  
Our Government wants to give good governance and develop every area."
SHRI JAGDAMBIKA PAL,"The Address of H.E. President  is the 
document of Government‟s policies. All the countrymen have faith and trust in the 
present Government. Hon. Prime Minister has averred that other Governments 
have been given 60 years, however, my Government needs only 60 months. The 
visit of the heads of SAARC countries was not restricted to the oath taking 
ceremony albeit the Hon. Prime Minister used it as an opportunity to hold bilateral 
talks clearing the country‟s stance and foreign policy categorically. Our 
Government took a very important decision in the form of setting up a Special 
Investigating team to bring back black money stashed abroad. The strengthening of 
rupee and the decline in the price of gold in the wake of the formation of new 
Government are itself harbinger   of good days. Foreign and domestic investment 
suffered a setback during the erstwhile Government‟s tenure. The Government‟s 
first priority is investment for which investment summit has been announced. I 
believe that there would be increased employment opportunities in the automobile, 
tourism, banking and the economic sector during the tenure of the new 
Government. Today,  90 districts fall under M.S.D.P. out of which 22 districts are 
in Uttar Pradesh. Modiji perceives every citizen as the citizen of India and not on 
the basis of his caste. The aim of the new Government is to strive for excellence 
and make the country a „Superior India‟. The Government will remain dedicated to 
the poor."
SHRIMATI KAMLA PATLE,"The people of India have delivered a 
decisive verdict in favour of development through good governance under the 
democratic process. The government is committed to creation of “Ek Bharat-
Shreshtha Bharat” by adopting the principle of “Sabka Saath-Sabka Vikas”. The 
Address has outlined the policies, programmes and the roadmap of the government 
which will benefit the 125 billion strong population of the country including the 
villages, poor farmers, women and youth. The government is committed to zero-
tolerance towards terrorism, modernisation of security forces by equipping them 
with state-of-the-art weaponry, constitution of an authority for coastal security and 
emphasis on prevention of infiltration. More than half of the districts in 
Chhattisgarh are reeling under naxal extremism. I demand special status for 
Chhattisgarh being the most backward and the least developed state in the country. 
I am grateful for the commitment made towards 33 percent reservation for women 
in the Parliament and State Legislatures, Beti Bachao-Beti Padhao initiative and 
zero-tolerance towards violence against women. I express gratitude for the 
government‟s intentions regarding rehabilitation of Kashmiri pandits, upliftment of 
the weaker sections of minorities and welfare of scheduled castes and scheduled 
tribes. I demand that the 16 percent quota for the scheduled castes in Chhattisgarh 
which was reduced be reinstated. The Address has something for all sections of the 
society be it the affluent or the poor section. All the schemes of the government 
will surely result in positive changes in the country. There is not a single Kendriya 
Vidyalaya in my constituency Janjgir-Champa district. Since 70 to 80 percent of 
the area in Chhattisgarh is agricultural, I demand the establishment of a Central 
Agricultural University in the state alongwith the construction of an airport, 
national status for the Kotmi Sonar Crocodile Reserve, inclusion of the survey for 
laying of rail line in Kasdol-Bhilaigarh legislative constituency in the rail budget 
and provision of required funds for the said purpose."
SHRI KADIYAM SRIHARI,"The Hon. President, in his Address, has 
promised that his Government will take steps to create an enabling eco-system of 
equal opportunity in educating, health and livelihood for SCs, STs, OBCs and 
weaker sections.  I would like to know from the government as to how they are 
going to create this system. Access to equal opportunity is denied to the weaker 
sections due to socio-economic inequalities suffered by them for centuries.  
Recognizing this reality, our Constitution has provided certain provision such as 
reservations for SCs, STs and OBCs in educational institutions and public services.  
But unfortunately, the inequalities in accessing the fruits of development are still 
staring at us.  While the enrollment rate of children from weaker sections into 
schools has significantly increased, much progress has not been achieved in 
reducing the school drop-outs.   The enrolment of students into higher  education 
from weaker-sections still remains poor.  I would like to welcome ‘Beti Bachao-
Beti Padhao’ initiative of the Government.  I would like to the Government to 
launch a National Programme for expanding residential schools for girls so as to 
provide at least one residential school for girls belonging to weaker sections in 
every block or Mandal in the country.  I would like to request the Government to 
consider guaranteeing weaker sections „Right to Health‟.  The Scheduled Castes 
and Scheduled Tribes (Reservation in Posts and Services) Bill, 2008 is still 
pending in the Parliament.  This Bill has to be passed at the earliest.  The 
reservation for SCs and STs in promotion is caught up in legal hurdles.  We need 
to enact this legislation without further loss of time.  I hope this Government will 
bring out central legislation on Scheduled Castes Sub Plan and Tribal Sub Plan as 
there are deficiencies in their implementation.  The Government is committed to 
completing the long pending irrigation projects on priority.  It is a laudable 
initiative of the Government.  A long pending project Pranahita-Chevella in the 
newly created State of Telangana may kindly be declared as National Project and 
completed in the next 5 years.  In the Reorganization Bill of 2014 of Andhra 
Pradesh, there is a mention of the establishment of a rail coach factory in 
Telangana. I would request the Railway Minister to consider this and see that rail 
coach factory is established at Kazipet.  I would also request the Railway Minister 
to examine for establishing a Railway Division at Kazipet.  In the year 2012-13, a 
wagon manufacturing unit has already been sanctioned here.  I would request the 
Railway Minister to expedite and give some funds in this Budget and give some 
funds in this Budget and see that this project is started.   
 
KUNWAR BHARTENDRA: All the sugarcane growing farmers of Uttar 
Pradesh hope that the Government will pay their dues.  All the Hindu refugees who 
came from Eastern Pakistan during the year 1950 should be given rights at par with 
all Indians.  Crores of poor farmers should be given protection by saving their 
lakhs of acres of cultivable land from the problem of flood and erosion by 
checking the flow of the Ganga.  The Government of Uttar Pradesh should be 
given instructions to put immediate check on the law and order situation and 
constantly rising incidence of rape and murder."
SHRIMATI JYOTI DHRUVE,"Hon‟ble President‟s Address details the 
road-map of the new Government led by the Hon‟ble Prime Minister. This country 
is an agricultural country but the financial condition of the farmers is very poor. 
They do not get proper support price for their agricultural produce. This 
Government has taken steps to improve it. The condition of the houses of urban 
dwellers is very poor. So 100 smart cities would be developed where all the 
facilities including power, drinking water and toilets would be provided. Toilets 
would be constructed in all the houses in all the villages. Healthcare services 
would be improved and AIIMS  would be set up in all the states. A war memorial 
is proposed to be set up in the country. Pollution level is rising in all the rivers 
including the Ganges in the country. So the Government is dedicated to make the 
Ganga river pollution-free."
SHRI ASADUDDIN OWAISI,"I stand to oppose the Motion that has been 
moved by Shri Rajiv Pratap Rudy and seconded by Shri Ram Vilas Paswan.  The 
Government talks about the inclusive development.  Please understand that the 
diversity and pluralism is the ethos of this nation. How can the inclusiveness 
happen in this august House?  How many Muslim MPs are here?  I agree that the 
Kashmiri Pandits should go back to Srinagar.  We will ask you about that in 2019.  
Hon. President spoke about making minorities equal partners.  How can there be 
equal partners when the Minister in charge on the very first day of assuming 
charge says that Muslims are not minorities?  My question to the ruling party is, 
what about the 4.5 per cent reservation given to minorities, not to Muslims, which 
includes others also like Sikhs, Buddhists and Christians.  There is a mention of 
zero tolerance towards communalism in the Address but see what is happening in 
the nation.  Let me conclude by speaking about my State of Telangana. How is it 
that when I am the right owner of a place, my place is given to the other State 
under Polavaram Project?  It is unconstitutional. I demand that a separate High 
Court be created in Telangana."
SHRI NEIPHIU RIO,"I rise to support the Motion of Thanks on the 
President‟s Address.  I represent the North East Regional Party Front and I would 
like to highlight a few things about my State and the region as a whole.  The 
President‟s Address highlighted and outlined the concerns of the NDA 
Government.  I am especially grateful and happy that a specific mention was made 
of the North Eastern region.  98 per cent of the North Eastern States is international 
boundary and only two per cent is connecting the mainland.  We have multiple 
problems that is, international borders and also the inter-State borders.  We need to 
address the insurgency problems in the States, the border problems, the ethnics and 
particularly the influx of illegal migrants.  At the same time, North East has huge 
potential.  We have huge human resources and mineral deposits and other 
capacities.  Therefore, we should utilize and exploit the potentials of the North 
East, particularly the youth.  We have Food Security Bill, but we should have Job 
Security Bill also so that work culture is developed.  If we just give them food, the 
work culture will be destroyed and the country will not march forward.   We have a 
Naga-political issue which is yet to be resolved.  For the last 17 years negotiation 
is going on , having 17 rounds of talks but it is yet to find a logical conclusion.  
Therefore, my appeal is that it should be expedited and a solution should come so 
that the investors not only from the State but from outside will also come.  Finally, 
I would like to say that we believe that better days are ahead for the whole nation, 
especially for the region."
SHRIMATI RAKSHATAI KHADSE,"The huge mandate given  by the 
people of India as per democratic convention has been reflected in the Address 
made by the hon‟ble President.  The people of the country have opted for “Sabka 
Saath Sabka Vikas” and “Minimum Government Maximum Governance” Mantra.  
The people have certain expectations and aspirations which include various 
schemes i.e. agricultural and rural development, women empowerment, primary 
education and health, various schemes for the welfare of backward sections of 
society, poverty alleviation, employment, self sufficiency in the field of energy, 
irrigation facility to each agricultural field, youth development.  The farmers in my 
constituency are facing difficulties in getting assistance from insurance agencies 
owing to absence of agricultural laboratories.  The farmers are making a demand 
that banana should be included in the category of fruit.  Various pilgrimage 
projects are lying pending in my constituency.  The demand to implement major 
water recharge schemes in Tapi river area in Madhya Pradesh and Maharashtra is 
long pending.  There is a need to construct concrete road to link agriculture fields 
to the main road.  There is a need to construct Bhusawal-Indore highway.  The 
farmers of my constituency and entire Maharashtra are facing difficulties due to 
untimely rain and snowfall.  The fee and scholarship to the girl students belonging 
to the people living below poverty line, Scheduled Castes, Scheduled tribes and 
Other Backward Classes and weaker sections  in Maharashtra has not been granted 
by the Union Government.  I am sure that the Government will definitely provide 
the said assistance.  The demand to introduce a train from Bhusawal to Chhatrapati 
Shivaji Terminus, Mumbai is long pending.  There is a  demand to introduce a 
Garib Rath Express and a Rajdhani Express for New Delhi on the same route.  The 
resolution made in the Hon‟ble President‟s Address in respect of high speed and 
fast track trains will definitely fulfill the aspiration of people."
SHRI PREM DAS RAI,"The President‟s Address to both the Houses of 
Parliament indeed shows clarity of both purpose and direction and a clear outline 
of the policy framework which is to be followed in the next five years.  I also got a 
feeling that there is a sense of urgency and a sense of cohesion and I hope that this 
entire House will work as one during the next five years of the 16th Lok Sabha.  
The President‟s Address had one interesting point which was the creation of IITs 
and IIMs in every State.  I fully welcome this as I have had the good fortune of 
studying in both these great institutions.  I do believe that an IIT and IIM in the 
State of Sikkim would also be welcome.  We also welcome the intention of the 
Government in strengthening the policy of cooperative federalism. I think a 
Ministry for the Himalayan States should be put into operation.  The security of the 
country, the bio-diversity security, the human security as well as the water security 
depend on the Himalayas.  I regret to say that the Hon. President‟s Address did not 
mention any plan of action to eliminate discrimination against Indian citizens from 
the north-eastern region.  This is as big as terrorism and must be met with a similar 
response both by the law and order machinery and with legislative capacity."
SHRI JOSE K. MANI,"I extend constructive support for all good nation 
building programmes and any law that brings in justice and equality among the 
millions of people.  It is like this that this Government has answered to all the 
problems that face the nation.  I feel that the Government should have been more 
candid in their approach in fixing up the priority.  The President has indicated food 
for all, water for all, shelter for all, education for all and the list goes on.  We have 
a huge number of promises given by the Government but these promises will be 
successful if we could translate them into reality within a time frame.  Kerala is 
densely populated and there is more of agricultural land.  Sometimes I feel that the 
success of Kerala is a failure of Kerala.  You would know the State of Kerala has 
achieved 100 per cent literacy in respect of elementary education.  What we need 
to have is support for higher education; specialized skilled programmes.  I would 
like to urge upon the Government that schemes should be made in consultation 
with the State governments.  I would like to urge upon the Government to stop the 
import of natural rubber for at least one year till the market picks up and import 
duty should be increased by 25 per cent. 
-----"
SHRI VIRENDER KASHYAP,"The Government must fulfill the hopes 
and aspirations of the people by taking concrete steps. The youth are expecting a 
lot from this new Government. They are hopeful of getting employment and work 
for themselves. It is mentioned in the Address that „Har Haath Ko Hunar‟ i.e. one 
will get work as per one‟s skills. There  is a mention of starting a National Skill 
Mission to make a skilled India, which is a welcome step. The most important 
thing mentioned in the interest of farmers is that water will be provided to the 
fields of farmers and for this, Pradhan Mantri Krishi Sinchai Yojana will be 
launched. There will be more opportunities of employment in villages. There is a 
need to expand the railways and more and more tracks should be laid in hilly states 
and areas. The people of Himachal Pradesh hope that the new Government will 
proceed in this direction. „Rashtriya Himalaya Mission‟ will be started. It is a 
commendable step. Funds should be made available in the ratio of 90:10 for 
Central Schemes by preparing uniform schemes for the rapid growth of all hilly 
states. Ex-servicemen have been demanding „one-rank-one-pension‟ for many 
years. There is a mention of implementation of this scheme in the Address. Now 
they are expecting that new Government will pay attention to do away with the 
injustice being done to them. Each family will get a pucca house which is a 
commendable step. I welcome this Address and hope that the development of the 
people of hilly areas, farmers and garden owners will be ensured in future."
SHRI RAJU SHETTY,"In his Address the President had said that 
agriculture is the source of livelihood of most of our population but the farmers of 
the country are in trouble for the last so many years.  The UPA Government took a 
decision to wave the agriculture loan of the farmers but it only benefit the 
scamsters in banks and touts that is why despite waiving of loan to the tune of 
rupee seventy thousand crores neither the incidents of suicide by the farmers came 
down  nor the farmers could get remunerative prices for their produces.  The 
demand of the farmers was that they atleast should get the cost they have put in.  
But the farmers who came to the street to press for their demand were canned and 
fired at by the police.  The land of the farmers has been acquired but they have not 
got the compensation. Since the source of livelihood of most of our population is 
agriculture, there is a need to increase investment in agriculture sector.  No private 
company  is willing to  invest in this sector because agriculture is no more a 
profitable profession.  Therefore, I congratulate the Hon. President for making a 
mention of crop insurance and post harvesting management.  The Government has 
announced that Pradhan Mantri Sinchayee Yojana will be implemented.  My 
submission to the Government is that if we have to strengthen our economy than 
we will have to be serious about the agriculture sector.  If we provide increased 
price of edible oil to the farmers, the farmers and the country will become self-
reliant in this matter.  Sugar industry is the largest industry of our country but the 
Government is not paying much attention towards this sector.  There is a need to 
pay attention towards scams taking place in the future market.  
-----"
SHRI RATTAN LAL KATARIA,"Election results of the 16th Lok Sabha 
have given rise to new hopes and aspirations among the 125 crore people of the 
country. Today, the Dalit and women of India are cherishing hopes for their rights 
and dignified living. The rise in atrocities on Dalits and women in the last 10 years 
have shattered their morale and they are looking upto Narendra Modi as their 
Messiah. Today, the farmers are committing  suicide as they are caught in the debt 
trap. They are struggling hard for getting the remunerative prices of their crops. 
The vision of rail connectivity, road connectivity, sea connectivity and air 
connectivity in  the  country presented by the Hon. Prime Minister will put India in 
the list of leading nations of the world. The Government has talked about uplifting 
the hilly areas of the country. I would like the hilly area of Shilavik in my Lok 
Sabha Constituency of Ambala to be declared backward from the industrial point 
of view in the similar way  as the Ex-Prime Minister Shri Atalji  delcared the Badri 
and Kala Amb areas of Himachal Pradesh. The Morni hilly areas of this region can 
be developed as world famous tourist region. Hon‟ble President has outlined the  
resolve of setting up centres for manufacturing  defence related equipments in the 
country. The cantonment area of my Lok Sabha Constituency is very important 
from strategic point of view. This area can be chosen to set up a centre for 
manufacturing defence equipments. Today, there is a need for strengthening the 
country from the health services point of view. Poverty should be totally 
eradicated. Today, there is a need for making India self reliant  in the energy 
sector. Proper steps should be taken for bringing quality in the field of education. 
Today, there is a dire need of making the Public Distribution System relevant in 
the country. Attention has also been drawn towards the migration of a large part of 
the population of the country to the cities in search of jobs. We have to strongly 
build up the institutional infrastructure in our rural areas. We have to provide all 
those facilities in our villages which the rural population rightly deserves. The 
Government has created a new precedent in the foreign policy of India by inviting 
all the nations of SAARC in our oath ceremony.  
-----"
SHRI AJAY MISRA TENI,"The clear objective of this government is to 
take everyone along and ensure development for all and its vision is Ek Bharat, 
Shreshtha Bharat. It is the priority of the government to develop the country as an 
undivided unit and provide equal opportunities for availing education, medical and 
employment benefits to all. Education, medicine, employment for the youth, 
opportunities to the talented in the field of sports, remunerative prices to the 
farmers, housing, industry, trade, bringing down inflation, establishment of basic 
infrastructure for the development of the country through reforms in the public 
distribution system, making the country prosperous, safeguarding the borders of 
the country and raising the prestige of the country in the global arena are the 
priorities of the government. I hope that the government will formulate an effective 
scheme for addressing the problem of floods in the border districts including Khiri 
Lakhimpur in Uttar Pradesh, lay broad gauge rail line and construct Pachpedi ghat 
bridge in the area. 
-----"
SHRI N.K. PREMACHANDRAN,"The President‟s Address to this House 
is the basic policy document of this Government.  But a clear-cut specific policy is 
not being well enunciated in the President‟s Address.  There is a mention of many 
schemes, programmes and slogans.  I would like to know from the Government the 
basic and specific policies of the Government in respect of achieving these goals.  
What is the meaning of maximum governance and minimum Government?  Is it 
minimizing the role of the Ministers and maximizing the role of the Prime 
Minister?  I would like to say that the Ministers are accountable to the people 
through the Parliament.  My submission to the Government is that 69 per cent of 
the voters who have not voted for the Bharatiya Janata Party should be taken into 
consideration while enunciating the policies and programmes.  Though the policies 
are not specially stated in the President‟s speech, we can very well sense what is 
the policy of the Government.  What is the defence policy?  100 per cent FDI is 
being allowed in defence sector.  Instead of attracting and inviting FDI, why do we 
not strengthen our defence PSUs.  There are so many appreciable programmes in 
the President‟s Address.  But they will become appreciable only when they are 
translated into action. 
-----"
SHRI SHARAD TRIPATHI,"The President‟s address has talked about 
providing jobs to people with every kind of skill that will provide opportunity to all 
youth living in village so that they can excel in their skill at the national level. The 
Government has envisioned about encouraging the Indian rural games that will 
make the youth of India bag the highest tally of medals is coming Olympic Games. 
The Government has emphasised on the health of the youth through yoga and 
ayush. The principals of all religions of the world can be followed through healthy 
body.  
-----"
